merchant_id,merchant_name,category,city
M0001,BioskopGo,entertainment,Jakarta
M0002,WarungOnline,food_beverage,Bandung
M0003,AirPDAM,bills,Yogyakarta
M0004,ShopEasy,e-commerce,Jakarta
M0005,BankTransfer,transfer,Medan
M0006,BankTransfer,transfer,Surabaya
M0007,WarungOnline,food_beverage,Depok
M0008,FashionNow,e-commerce,Jakarta
M0009,TokoBagus,e-commerce,Surabaya
M0010,JajananPak,food_beverage,Surabaya
M0011,GadgetHub,e-commerce,Surabaya
M0012,MiniMart,retail,Yogyakarta
M0013,BankTransfer,transfer,Medan
M0014,TiketPergi,travel,Depok
M0015,MiniMart,retail,Bandung
M0016,ShopEasy,e-commerce,Yogyakarta
M0017,BioskopGo,entertainment,Bali
M0018,PlayStore,gaming,Bali
M0019,TelkomBill,bills,Makassar
M0020,QuickSend,transfer,Bandung
M0021,QuickSend,transfer,Yogyakarta
M0022,FashionNow,e-commerce,Palembang
M0023,FlipTransfer,transfer,Palembang
M0024,MiniMart,retail,Bali
M0025,SuperStore,retail,Bali
M0026,FashionNow,e-commerce,Palembang
M0027,MusicStream,entertainment,Bali
M0028,WarungOnline,food_beverage,Depok
M0029,GameToken,gaming,Surabaya
M0030,GadgetHub,e-commerce,Medan
M0031,SuperStore,retail,Surabaya
M0032,FlightBook,travel,Jakarta
M0033,ShopEasy,e-commerce,Semarang
M0034,ShopEasy,e-commerce,Bandung
M0035,FlightBook,travel,Semarang
M0036,TokoBagus,e-commerce,Semarang
M0037,BankTransfer,transfer,Bali
M0038,TopupGame,gaming,Depok
M0039,PLNOnline,bills,Palembang
M0040,KantinDigital,food_beverage,Medan
M0041,FlipTransfer,transfer,Medan
M0042,FashionNow,e-commerce,Makassar
M0043,SuperStore,retail,Surabaya
M0044,WarungOnline,food_beverage,Yogyakarta
M0045,GadgetHub,e-commerce,Semarang
M0046,JajananPak,food_beverage,Surabaya
M0047,MiniMart,retail,Bali
M0048,GadgetHub,e-commerce,Medan
M0049,GameToken,gaming,Surabaya
M0050,MusicStream,entertainment,Bali
M0051,FlightBook,travel,Surabaya
M0052,ElektronikMaju,retail,Bali
M0053,HotelMurah,travel,Surabaya
M0054,ElektronikMaju,retail,Semarang
M0055,TokoBagus,e-commerce,Palembang
M0056,TiketPergi,travel,Bandung
M0057,QuickSend,transfer,Makassar
M0058,BankTransfer,transfer,Makassar
M0059,TopupGame,gaming,Depok
M0060,MiniMart,retail,Surabaya
M0061,GameStore,entertainment,Makassar
M0062,BankTransfer,transfer,Depok
M0063,FlipTransfer,transfer,Makassar
M0064,KantinDigital,food_beverage,Surabaya
M0065,SayurOnline,food_beverage,Palembang
M0066,KantinDigital,food_beverage,Surabaya
M0067,ShopEasy,e-commerce,Yogyakarta
M0068,MarketMaju,e-commerce,Semarang
M0069,FlightBook,travel,Yogyakarta
M0070,BankTransfer,transfer,Yogyakarta
M0071,ElektronikMaju,retail,Jakarta
M0072,AirPDAM,bills,Yogyakarta
M0073,TokoBagus,e-commerce,Depok
M0074,FashionNow,e-commerce,Semarang
M0075,FoodPak,food_beverage,Bandung
M0076,ElektronikMaju,retail,Depok
M0077,FoodPak,food_beverage,Jakarta
M0078,BankTransfer,transfer,Semarang
M0079,SuperStore,retail,Yogyakarta
M0080,SuperStore,retail,Semarang
